Campo,Valor,Porcentagem do Total de Focos
ACRE,24,0.10%
ALAGOAS,511,2.12%
AMAPÁ,6,0.02%
AMAZONAS,546,2.26%
BAHIA,1209,5.01%
CEARÁ,171,0.71%
DISTRITO FEDERAL,10,0.04%
ESPÍRITO SANTO,65,0.27%
GOIÁS,290,1.20%
MARANHÃO,185,0.77%
MATO GROSSO,827,3.42%
MATO GROSSO DO SUL,582,2.41%
MINAS GERAIS,509,2.11%
PARÁ,398,1.65%
PARAÍBA,159,0.66%
PARANÁ,681,2.82%
PERNAMBUCO,299,1.24%
PIAUÍ,61,0.25%
RIO DE JANEIRO,35,0.14%
RIO GRANDE DO NORTE,173,0.72%
RIO GRANDE DO SUL,840,3.48%
RONDÔNIA,33,0.14%
RORAIMA,14968,61.98%
SANTA CATARINA,430,1.78%
SÃO PAULO,770,3.19%
SERGIPE,285,1.18%
TOCANTINS,82,0.34%
