Campo,Valor,Porcentagem do Total de Focos
ACRE,25498,4.36%
ALAGOAS,364,0.06%
AMAPÁ,1146,0.20%
AMAZONAS,55034,9.40%
BAHIA,24726,4.22%
CEARÁ,4517,0.77%
DISTRITO FEDERAL,458,0.08%
ESPÍRITO SANTO,467,0.08%
GOIÁS,19913,3.40%
MARANHÃO,54409,9.30%
MATO GROSSO,116687,19.94%
MATO GROSSO DO SUL,9644,1.65%
MINAS GERAIS,22244,3.80%
PARÁ,65713,11.23%
PARAÍBA,1157,0.20%
PARANÁ,2941,0.50%
PERNAMBUCO,966,0.17%
PIAUÍ,44525,7.61%
RIO DE JANEIRO,631,0.11%
RIO GRANDE DO NORTE,550,0.09%
RIO GRANDE DO SUL,1923,0.33%
RONDÔNIA,81324,13.89%
RORAIMA,273,0.05%
SANTA CATARINA,985,0.17%
SÃO PAULO,7101,1.21%
SERGIPE,70,0.01%
TOCANTINS,42058,7.19%
