Campo,Valor,Porcentagem do Total de Focos
ACRE,3644,1.96%
ALAGOAS,45,0.02%
AMAPÁ,27,0.01%
AMAZONAS,8638,4.65%
BAHIA,4795,2.58%
CEARÁ,1215,0.65%
DISTRITO FEDERAL,582,0.31%
ESPÍRITO SANTO,402,0.22%
GOIÁS,9651,5.20%
MARANHÃO,18348,9.88%
MATO GROSSO,38284,20.61%
MATO GROSSO DO SUL,6425,3.46%
MINAS GERAIS,8092,4.36%
PARÁ,15743,8.48%
PARAÍBA,155,0.08%
PARANÁ,4176,2.25%
PERNAMBUCO,236,0.13%
PIAUÍ,8474,4.56%
RIO DE JANEIRO,933,0.50%
RIO GRANDE DO NORTE,257,0.14%
RIO GRANDE DO SUL,4814,2.59%
RONDÔNIA,9676,5.21%
RORAIMA,37,0.02%
SANTA CATARINA,3128,1.68%
SÃO PAULO,7022,3.78%
SERGIPE,28,0.02%
TOCANTINS,30904,16.64%
