Campo,Valor,Porcentagem do Total de Focos
ACRE,15352,2.09%
ALAGOAS,188,0.03%
AMAPÁ,1910,0.26%
AMAZONAS,42512,5.78%
BAHIA,76583,10.42%
CEARÁ,2500,0.34%
DISTRITO FEDERAL,633,0.09%
ESPÍRITO SANTO,1918,0.26%
GOIÁS,28154,3.83%
MARANHÃO,77373,10.52%
MATO GROSSO,123839,16.85%
MATO GROSSO DO SUL,14150,1.92%
MINAS GERAIS,29604,4.03%
PARÁ,110151,14.98%
PARAÍBA,525,0.07%
PARANÁ,3918,0.53%
PERNAMBUCO,1007,0.14%
PIAUÍ,74265,10.10%
RIO DE JANEIRO,898,0.12%
RIO GRANDE DO NORTE,499,0.07%
RIO GRANDE DO SUL,1802,0.25%
RONDÔNIA,54031,7.35%
RORAIMA,1001,0.14%
SANTA CATARINA,951,0.13%
SÃO PAULO,4314,0.59%
SERGIPE,53,0.01%
TOCANTINS,67007,9.11%
