Campo,Valor,Porcentagem do Total de Focos
ACRE,20,0.04%
ALAGOAS,1363,2.83%
AMAPÁ,368,0.76%
AMAZONAS,280,0.58%
BAHIA,4652,9.67%
CEARÁ,2079,4.32%
DISTRITO FEDERAL,59,0.12%
ESPÍRITO SANTO,1458,3.03%
GOIÁS,1455,3.02%
MARANHÃO,4443,9.23%
MATO GROSSO,4766,9.90%
MATO GROSSO DO SUL,2159,4.49%
MINAS GERAIS,2660,5.53%
PARÁ,8176,16.99%
PARAÍBA,772,1.60%
PARANÁ,685,1.42%
PERNAMBUCO,1383,2.87%
PIAUÍ,1109,2.30%
RIO DE JANEIRO,1452,3.02%
RIO GRANDE DO NORTE,696,1.45%
RIO GRANDE DO SUL,250,0.52%
RONDÔNIA,266,0.55%
RORAIMA,4027,8.37%
SANTA CATARINA,121,0.25%
SÃO PAULO,1276,2.65%
SERGIPE,461,0.96%
TOCANTINS,1696,3.52%
