Campo,Valor,Porcentagem do Total de Focos
ACRE,9491,1.63%
ALAGOAS,136,0.02%
AMAPÁ,3364,0.58%
AMAZONAS,10541,1.80%
BAHIA,42344,7.25%
CEARÁ,7273,1.25%
DISTRITO FEDERAL,778,0.13%
ESPÍRITO SANTO,659,0.11%
GOIÁS,48561,8.31%
MARANHÃO,102150,17.49%
MATO GROSSO,72173,12.36%
MATO GROSSO DO SUL,8124,1.39%
MINAS GERAIS,34012,5.82%
PARÁ,111155,19.03%
PARAÍBA,1075,0.18%
PARANÁ,1575,0.27%
PERNAMBUCO,1768,0.30%
PIAUÍ,37071,6.35%
RIO DE JANEIRO,2215,0.38%
RIO GRANDE DO NORTE,769,0.13%
RIO GRANDE DO SUL,485,0.08%
RONDÔNIA,21045,3.60%
RORAIMA,1692,0.29%
SANTA CATARINA,335,0.06%
SÃO PAULO,3377,0.58%
SERGIPE,38,0.01%
TOCANTINS,61811,10.58%
