Campo,Valor,Porcentagem do Total de Focos
ACRE,29,0.24%
ALAGOAS,134,1.09%
AMAPÁ,7,0.06%
AMAZONAS,167,1.35%
BAHIA,1307,10.60%
CEARÁ,51,0.41%
DISTRITO FEDERAL,19,0.15%
ESPÍRITO SANTO,141,1.14%
GOIÁS,466,3.78%
MARANHÃO,399,3.24%
MATO GROSSO,2628,21.32%
MATO GROSSO DO SUL,838,6.80%
MINAS GERAIS,1079,8.75%
PARÁ,249,2.02%
PARAÍBA,31,0.25%
PARANÁ,721,5.85%
PERNAMBUCO,150,1.22%
PIAUÍ,159,1.29%
RIO DE JANEIRO,166,1.35%
RIO GRANDE DO NORTE,51,0.41%
RIO GRANDE DO SUL,493,4.00%
RONDÔNIA,145,1.18%
RORAIMA,997,8.09%
SANTA CATARINA,206,1.67%
SÃO PAULO,728,5.91%
SERGIPE,75,0.61%
TOCANTINS,890,7.22%
