Campo,Valor,Porcentagem do Total de Focos
ACRE,7184,1.51%
ALAGOAS,11,0.00%
AMAPÁ,242,0.05%
AMAZONAS,56483,11.88%
BAHIA,9920,2.09%
CEARÁ,1321,0.28%
DISTRITO FEDERAL,1262,0.27%
ESPÍRITO SANTO,284,0.06%
GOIÁS,19352,4.07%
MARANHÃO,34472,7.25%
MATO GROSSO,70996,14.94%
MATO GROSSO DO SUL,13247,2.79%
MINAS GERAIS,15945,3.35%
PARÁ,119723,25.19%
PARAÍBA,226,0.05%
PARANÁ,5741,1.21%
PERNAMBUCO,261,0.05%
PIAUÍ,16047,3.38%
RIO DE JANEIRO,1022,0.22%
RIO GRANDE DO NORTE,237,0.05%
RIO GRANDE DO SUL,4087,0.86%
RONDÔNIA,45605,9.60%
RORAIMA,461,0.10%
SANTA CATARINA,2861,0.60%
SÃO PAULO,7482,1.57%
SERGIPE,4,0.00%
TOCANTINS,40804,8.59%
