Campo,Valor,Porcentagem do Total de Focos
ACRE,92,0.07%
ALAGOAS,607,0.47%
AMAPÁ,3733,2.87%
AMAZONAS,1228,0.94%
BAHIA,1628,1.25%
CEARÁ,8365,6.43%
DISTRITO FEDERAL,2,0.00%
ESPÍRITO SANTO,85,0.07%
GOIÁS,416,0.32%
MARANHÃO,32211,24.76%
MATO GROSSO,2191,1.68%
MATO GROSSO DO SUL,867,0.67%
MINAS GERAIS,899,0.69%
PARÁ,60854,46.78%
PARAÍBA,1409,1.08%
PARANÁ,996,0.77%
PERNAMBUCO,1177,0.90%
PIAUÍ,4207,3.23%
RIO DE JANEIRO,99,0.08%
RIO GRANDE DO NORTE,833,0.64%
RIO GRANDE DO SUL,1418,1.09%
RONDÔNIA,509,0.39%
RORAIMA,4080,3.14%
SANTA CATARINA,460,0.35%
SÃO PAULO,810,0.62%
SERGIPE,124,0.10%
TOCANTINS,795,0.61%
