Campo,Valor,Porcentagem do Total de Focos
ACRE,16,0.03%
ALAGOAS,786,1.28%
AMAPÁ,31,0.05%
AMAZONAS,550,0.90%
BAHIA,5235,8.53%
CEARÁ,3031,4.94%
DISTRITO FEDERAL,69,0.11%
ESPÍRITO SANTO,905,1.47%
GOIÁS,1851,3.02%
MARANHÃO,6091,9.93%
MATO GROSSO,5118,8.34%
MATO GROSSO DO SUL,9597,15.64%
MINAS GERAIS,3509,5.72%
PARÁ,4504,7.34%
PARAÍBA,1282,2.09%
PARANÁ,1220,1.99%
PERNAMBUCO,1355,2.21%
PIAUÍ,1599,2.61%
RIO DE JANEIRO,1209,1.97%
RIO GRANDE DO NORTE,639,1.04%
RIO GRANDE DO SUL,444,0.72%
RONDÔNIA,318,0.52%
RORAIMA,7492,12.21%
SANTA CATARINA,475,0.77%
SÃO PAULO,1749,2.85%
SERGIPE,774,1.26%
TOCANTINS,1515,2.47%
