Campo,Valor,Porcentagem do Total de Focos
ACRE,2134,0.98%
ALAGOAS,45,0.02%
AMAPÁ,18,0.01%
AMAZONAS,19975,9.13%
BAHIA,5942,2.72%
CEARÁ,444,0.20%
DISTRITO FEDERAL,404,0.18%
ESPÍRITO SANTO,1008,0.46%
GOIÁS,8086,3.70%
MARANHÃO,16055,7.34%
MATO GROSSO,50016,22.87%
MATO GROSSO DO SUL,10654,4.87%
MINAS GERAIS,11928,5.45%
PARÁ,24400,11.16%
PARAÍBA,129,0.06%
PARANÁ,3954,1.81%
PERNAMBUCO,176,0.08%
PIAUÍ,9694,4.43%
RIO DE JANEIRO,2279,1.04%
RIO GRANDE DO NORTE,105,0.05%
RIO GRANDE DO SUL,4041,1.85%
RONDÔNIA,12004,5.49%
RORAIMA,35,0.02%
SANTA CATARINA,1585,0.72%
SÃO PAULO,5581,2.55%
SERGIPE,5,0.00%
TOCANTINS,28038,12.82%
